Person ID,First name,Last name,Party,Constituency,URI
24916,Stephen,Barclay,Conservative,North East Cambridgeshire,http://www.theyworkforyou.com/mp/stephen_barclay/north_east_cambridgeshire
10713,Gregory,Barker,Conservative,Bexhill and Battle,http://www.theyworkforyou.com/mp/gregory_barker/bexhill_and_battle
10715,John,Baron,Conservative,Basildon and Billericay,http://www.theyworkforyou.com/mp/john_baron/basildon_and_billericay
10027,Kevin,Barron,Labour,Rother Valley,http://www.theyworkforyou.com/mp/kevin_barron/rother_valley
24863,Gavin,Barwell,Conservative,Croydon Central,http://www.theyworkforyou.com/mp/gavin_barwell/croydon_central
10029,Hugh,Bayley,Labour,York Central,http://www.theyworkforyou.com/mp/hugh_bayley/york_central
24736,Guto,Bebb,Conservative,Aberconwy,http://www.theyworkforyou.com/mp/guto_bebb/aberconwy
10031,Margaret,Beckett,Labour,Derby South,http://www.theyworkforyou.com/mp/margaret_beckett/derby_south
10032,Anne,Begg,Labour,Aberdeen South,http://www.theyworkforyou.com/mp/anne_begg/aberdeen_south
10034,Alan,Beith,Liberal Democrat,Berwick-upon-Tweed,http://www.theyworkforyou.com/mp/alan_beith/berwick-upon-tweed
10036,Stuart,Bell,Labour,Middlesbrough,http://www.theyworkforyou.com/mp/stuart_bell/middlesbrough
10726,Henry,Bellingham,Conservative,North West Norfolk,http://www.theyworkforyou.com/mp/henry_bellingham/north_west_norfolk
10669,Hilary,Benn,Labour,Leeds Central,http://www.theyworkforyou.com/mp/hilary_benn/leeds_central
10039,Joe,Benton,Labour,Bootle,http://www.theyworkforyou.com/mp/joe_benton/bootle
11727,Richard,Benyon,Conservative,Newbury,http://www.theyworkforyou.com/mp/richard_benyon/newbury
10040,John,Bercow,-,Buckingham,http://www.theyworkforyou.com/mp/john_bercow/buckingham
10041,Paul,Beresford,Conservative,Mole Valley,http://www.theyworkforyou.com/mp/paul_beresford/mole_valley
24924,Luciana,Berger,Labour,"Liverpool, Wavertree",http://www.theyworkforyou.com/mp/luciana_berger/liverpool%2C_wavertree
24860,Jake,Berry,Conservative,Rossendale and Darwen,http://www.theyworkforyou.com/mp/jake_berry/rossendale_and_darwen
